Altitude (m),Water Body Proximity (km),Rainfall (cm),Slope (%),Dam Proximity (km)
680,7.49801793241945,17,15.5456156423613,10.6087586166299
2083,7.22630419816892,39,3.80291018803718,49.171801803404
2252,2.26196683112896,187,29.5361883553302,0.478227708863482
931,3.0000998448675,145,28.477534135296,44.6559166635307
782,8.76448409297181,143,20.5775047359046,49.5270827137665
2238,1.21976701213089,89,14.1270008198828,46.154296184223
1141,8.35929567034133,14,14.6238927625302,14.0607415211974
918,5.97218413392674,176,1.15160288409648,36.2531496406353
2816,1.65960741816791,99,28.2306479604284,31.7268925758804
972,8.14342842324327,1,6.39443800711168,7.58232226457904
17,7.87859262054773,76,17.0925262862845,7.19594144907176
1960,5.78419813308479,26,22.0443133139167,27.1290292898169
1322,7.69459196687636,83,13.9482502958316,34.7057056425944
622,6.04286640570587,88,23.1089149037207,5.799525169277
2820,7.05929577544121,161,2.25411868475622,10.5869396242934
82,8.83136090247092,85,12.5356103004707,46.8185323154897
2154,1.52532125793422,163,18.0379645021131,2.20505308394454
1036,6.10836795648427,9,22.1835065283551,16.6362551899509
1876,8.47681191437528,196,16.9737011891939,45.4325193140066
2161,5.90613951592247,195,26.1060461142832,14.5079890058629
790,0.957436481338969,57,2.77208967327673,48.3952672721367
1780,1.37319054601665,133,26.6576770508288,19.1179608607277
529,8.137972701615,33,27.535723436379,18.5718995169831
2222,7.98522587557828,49,15.9523256033613,26.7343563326924
2053,8.48247992517235,183,25.8553223503658,40.0051032182532
2138,4.63995360367311,178,29.4811681472594,5.79371862488915
1861,7.26416303877869,93,12.1895260623988,28.6915276900288
196,8.60858043837288,187,4.4317298047723,24.7228486721332
1856,3.47105998496673,9,3.25401983423756,3.78642799815169
637,1.18295410228469,192,10.6995066653191,6.7484359084617
1566,6.29875895715073,144,16.1203545748845,4.5350132178322
649,0.759389619094077,31,22.0221355225203,13.0473209018383
2060,9.40082227473994,122,18.5793906425589,38.6104461615024
355,1.45060406259975,20,3.07834293387348,26.2409549408405
1149,5.90676766273387,27,19.08455148924,24.2765137851089
1857,5.84478350802198,38,12.9335005758058,42.0455419042626
2172,9.06516724569547,171,9.1755708887095,36.3021438924597
274,3.83692975910415,36,5.32599559584486,41.5576381205235
2647,0.00282661111604354,7,24.6331428804598,11.8319673462317
1258,8.3751525738387,5,3.2348714509967,40.9119807450866
1807,5.79184976851158,7,14.5454968350919,25.2769379554204
524,9.92011438937491,30,10.9623263672307,39.1473891652479
2076,1.66165864250209,172,23.6756779188296,4.68674880815095
339,4.76172195293327,145,2.73512056222753,34.7296386450772
1486,1.44045339513041,29,28.2822086754046,1.09131753719861
2848,1.50186209343001,23,10.6935967702989,25.4324006142637
2459,7.11034170334813,172,21.8711699096539,18.9591866602415
1694,1.19030733244735,145,26.8202457824879,14.9131447191019
2493,1.2681341577644,37,12.3508072902727,48.6805061287357
1036,4.852594627888,169,0.475211400107747,43.3448910092752
2021,3.84244684431653,182,21.6604811100568,38.9701696893072
269,6.68553528739789,82,29.8439871865194,0.596705938560355
257,0.803349870192697,154,25.1533934973013,40.6034837862265
873,0.772757964609727,52,4.44383034648789,6.44811541927953
2467,8.08245187999784,32,18.0152538113263,3.64633676988532
2544,6.36285189773567,33,22.5656455698589,48.9809415375602
2474,5.40876831891949,140,22.6436672548635,27.0878966478746
2198,5.90128625569251,124,9.9792824796314,12.1629567066074
